,guid,title,pubDate,link,duration,author,explicit,summary,subtitle,description,enclosure,image
0,"tag:soundcloud,2010:tracks/812802808",episode 79 - government's plan for economic rescue,"mon, 04 may 2020 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-79-governments-plan-for-economic-rescue,00:53:39,the lebanese politics podcast,yes,"discussion of the government's economic and financial rescue plan starts at 23:35.

ben and nizar are back for our fifth lockdown episode with all the latest on the coronavirus in lebanon, the renewed protests, and the economy, including bdl governor riad salameh's speech.

our main topic this week is the government's proposed economic and financial rescue plan, what it covers, what is missing, and our analysis on the good, the bad, and optimistic. 

music track: zuhal by elepheel, check out his other work @elepheel",discussion of the government's economic and finan…,"discussion of the government's economic and financial rescue plan starts at 23:35.

ben and nizar are back for our fifth lockdown episode with all the latest on the coronavirus in lebanon, the renewed protests, and the economy, including bdl governor riad salameh's speech.

our main topic this week is the government's proposed economic and financial rescue plan, what it covers, what is missing, and our analysis on the good, the bad, and optimistic. 

music track: zuhal by elepheel, check out his other work @elepheel",none,none
1,"tag:soundcloud,2010:tracks/807625039",episode 78 - bdl & monetary policy,"mon, 27 apr 2020 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-78-bdl-monetary-policy,01:01:56,the lebanese politics podcast,yes,"the fourth of our remote lockdown episodes, ben and nizar are joined by hicham safieddine, lecturer in the history of the modern middle east at king’s college london and author of “banking on the state: the financial foundations of lebanon,” to talk about the depreciating lira, the role of the central bank and bdl governor riad salameh, and who ultimately has responsbility for monetary policy in lebanon.

also covered: the latest on the coronavirus in lebanon, a disappointing parliamentary session, and the ongoing economic crisis.

nb: apologies for the slight echo in the second half of the recording, week four of remote recording brought with it new challenges. 

music track: zuhal by elepheel, check out his other work @elepheel","the fourth of our remote lockdown episodes, ben a…","the fourth of our remote lockdown episodes, ben and nizar are joined by hicham safieddine, lecturer in the history of the modern middle east at king’s college london and author of “banking on the state: the financial foundations of lebanon,” to talk about the depreciating lira, the role of the central bank and bdl governor riad salameh, and who ultimately has responsbility for monetary policy in lebanon.

also covered: the latest on the coronavirus in lebanon, a disappointing parliamentary session, and the ongoing economic crisis.

nb: apologies for the slight echo in the second half of the recording, week four of remote recording brought with it new challenges. 

music track: zuhal by elepheel, check out his other work @elepheel",none,none
2,"tag:soundcloud,2010:tracks/791460253",episode 77 - lirafication in slow motion,"mon, 06 apr 2020 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-77-lirafication-in-slow-motion,00:48:18,the lebanese politics podcast,yes,"discussion on the bdl circular begins at 20:50. 

ben and nizar are (remotely) joined this week by mohamad faour, a postdoctoral researcher in finance at the university college dublin and one of the nerds(https://finance4lebanon.com) to discuss the logic behind the banque du liban circular released this past week that would allow those with deposits less than or equal to $3,000 to withdraw their money in lira at the market rate. 

also covered: the latest on coronavirus in lebanon, politics as usual when it comes to bdl and banking control commission appointments, lebanese expatriates start returning, and al-jadeed comedian wissam saad's ""jokes"" fall flat.

music track: zuhal by elepheel, check out his other work @elepheel","discussion on the bdl circular begins at 20:50. 
…","discussion on the bdl circular begins at 20:50. 

ben and nizar are (remotely) joined this week by mohamad faour, a postdoctoral researcher in finance at the university college dublin and one of the nerds(https://finance4lebanon.com) to discuss the logic behind the banque du liban circular released this past week that would allow those with deposits less than or equal to $3,000 to withdraw their money in lira at the market rate. 

also covered: the latest on coronavirus in lebanon, politics as usual when it comes to bdl and banking control commission appointments, lebanese expatriates start returning, and al-jadeed comedian wissam saad's ""jokes"" fall flat.

music track: zuhal by elepheel, check out his other work @elepheel",none,none
3,"tag:soundcloud,2010:tracks/786013177",episode 76 - lebanon in lockdown ii,"mon, 30 mar 2020 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-76-lebanon-in-lockdown-ii,00:42:03,the lebanese politics podcast,yes,"ben and nizar are back for our second remote lockdown episode with all the latest on the coronavirus in lebanon, the dismantling of the downtown protest camps, and the economic situation. we ask the question on everyone's mind: where are the lebanese government's plans for social protections as the twin crises of coronavirus and lebanon's economic meltdown set the stage for mass unemployment and poverty?

music track: zuhal by elepheel, check out his other work @elepheel",ben and nizar are back for our second remote lock…,"ben and nizar are back for our second remote lockdown episode with all the latest on the coronavirus in lebanon, the dismantling of the downtown protest camps, and the economic situation. we ask the question on everyone's mind: where are the lebanese government's plans for social protections as the twin crises of coronavirus and lebanon's economic meltdown set the stage for mass unemployment and poverty?

music track: zuhal by elepheel, check out his other work @elepheel",none,none
4,"tag:soundcloud,2010:tracks/780848920",episode 75 - lebanon in lockdown,"sun, 22 mar 2020 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-75-lebanon-in-lockdown,00:37:58,the lebanese politics podcast,yes,"ben and nizar are joined by journalist timour azhari for a special remotely recorded lockdown episode, with all the latest on coronavirus in lebanon, updates on the economic situation, and the fallout from the controversial release of amer fakhoury.

nb: the lockdown isn't getting to you, those are notification beeps in the first five minutes, our bad, internet recording teething troubles.

music track: zuhal by elepheel, check out his other work @elepheel",ben and nizar are joined by journalist timour azh…,"ben and nizar are joined by journalist timour azhari for a special remotely recorded lockdown episode, with all the latest on coronavirus in lebanon, updates on the economic situation, and the fallout from the controversial release of amer fakhoury.

nb: the lockdown isn't getting to you, those are notification beeps in the first five minutes, our bad, internet recording teething troubles.

music track: zuhal by elepheel, check out his other work @elepheel",none,none
5,"tag:soundcloud,2010:tracks/772736770",episode 74 - lebanon defaults,"mon, 09 mar 2020 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-74-lebanon-defaults,00:52:23,the lebanese politics podcast,yes,"discussion on default begins at 19:45.

ben and nizar are joined by economist marwan mikhael, former head of research for blominvest, to discuss lebanon's decision to default and where the country goes from here. 

also covered: coronavirus, lira fluctuations, and the financial prosecutor's move against the banks.

music track: zuhal by elepheel, check out his other work @elepheel","discussion on default begins at 19:45.

ben and n…","discussion on default begins at 19:45.

ben and nizar are joined by economist marwan mikhael, former head of research for blominvest, to discuss lebanon's decision to default and where the country goes from here. 

also covered: coronavirus, lira fluctuations, and the financial prosecutor's move against the banks.

music track: zuhal by elepheel, check out his other work @elepheel",none,none
6,"tag:soundcloud,2010:tracks/768962044",episode 73 - coronavirus,"sun, 01 mar 2020 22:00:10 +0000",https://soundcloud.com/lebpoliticspodcast/episode-73-coronavirus,00:37:35,the lebanese politics podcast,yes,"discussion on coronavirus in lebanon begins at 19:12.

ben and nizar are joined this week by dr abdul rahman bizri, professor of infectious diseases at aubmc, member of national communicable diseases committee, and a founding member/former president of lebanese society for infectious diseases and clinical microbiology, to discuss the recent cases of the covid-19 coronavirus in lebanon and how the lebanese health system can handle the outbreak. 

also discussed: lebanon starts oil & gas exploration, the latest on the financial situation and the eurobond payment, clashes between supporters of the fpm and the psp, diab takes a swing at critics, and the crackdown on journalists/activists continues.

music track: zuhal by elepheel, check out his other work @elepheel",discussion on coronavirus in lebanon begins at 19…,"discussion on coronavirus in lebanon begins at 19:12.

ben and nizar are joined this week by dr abdul rahman bizri, professor of infectious diseases at aubmc, member of national communicable diseases committee, and a founding member/former president of lebanese society for infectious diseases and clinical microbiology, to discuss the recent cases of the covid-19 coronavirus in lebanon and how the lebanese health system can handle the outbreak. 

also discussed: lebanon starts oil & gas exploration, the latest on the financial situation and the eurobond payment, clashes between supporters of the fpm and the psp, diab takes a swing at critics, and the crackdown on journalists/activists continues.

music track: zuhal by elepheel, check out his other work @elepheel",none,none
7,"tag:soundcloud,2010:tracks/761742049",episode 72 - pay or default? part 2,"mon, 17 feb 2020 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-72-pay-or-default-part-2,00:46:13,the lebanese politics podcast,yes,"discussion of the financial situation begins at 18:49.

ben and nizar are joined by economist and historian joane chaker to discuss the counter arguments to last week's deep dive topic - to pay or default - and why many believe that lebanon defaulting on the eurobond payments is necessary. 

also covered: the vote of confidence, the attack on economic journalist mohammad zbeeb, lebanon asks the imf for technical assistance, and hariri blasts bassil.

music track: zuhal by elepheel, check out his other work @elepheel",discussion of the financial situation begins at 1…,"discussion of the financial situation begins at 18:49.

ben and nizar are joined by economist and historian joane chaker to discuss the counter arguments to last week's deep dive topic - to pay or default - and why many believe that lebanon defaulting on the eurobond payments is necessary. 

also covered: the vote of confidence, the attack on economic journalist mohammad zbeeb, lebanon asks the imf for technical assistance, and hariri blasts bassil.

music track: zuhal by elepheel, check out his other work @elepheel",none,none
8,"tag:soundcloud,2010:tracks/757817005",episode 71 - pay or default?,"mon, 10 feb 2020 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-71-pay-or-default,01:02:21,the lebanese politics podcast,yes,"discussion of the financial situation begins at 20:51. 

nizar and ben are joined for the second time by former banker dan azzi to discuss the state of the lira, haircuts on deposits, and take a deep dive into whether or not lebanon should pay its eurobonds due early march. 

also covered: the people vs. ziad aswad, the daily star drops its print editon and radio one goes off air, and a full breakdown of the new government's ministerial statement.

music track: zuhal by elepheel, check out his other work @elepheel",discussion of the financial situation begins at 2…,"discussion of the financial situation begins at 20:51. 

nizar and ben are joined for the second time by former banker dan azzi to discuss the state of the lira, haircuts on deposits, and take a deep dive into whether or not lebanon should pay its eurobonds due early march. 

also covered: the people vs. ziad aswad, the daily star drops its print editon and radio one goes off air, and a full breakdown of the new government's ministerial statement.

music track: zuhal by elepheel, check out his other work @elepheel",none,none
9,"tag:soundcloud,2010:tracks/753891871",episode 70 - unlawful use of force,"mon, 03 feb 2020 00:00:00 +0000",https://soundcloud.com/lebpoliticspodcast/episode-70-unlawful-use-of-force,00:50:05,the lebanese politics podcast,yes,"discussion of human rights violations in the protests begins at 20:55. 

ben and nizar analyze the news of the past week, including the so-called deal of the century, the 2020 budget, and the latest on the financial crisis, before diving in deep into human rights violations in the protests - including arbitary detention, unlawful use of force, and intimidation tactics - with the help of guest aya majzoub, the lebanon and bahrain researcher at human rights watch.

music track: zuhal by elepheel, check out his other work @elepheel",discussion of human rights violations in the prot…,"discussion of human rights violations in the protests begins at 20:55. 

ben and nizar analyze the news of the past week, including the so-called deal of the century, the 2020 budget, and the latest on the financial crisis, before diving in deep into human rights violations in the protests - including arbitary detention, unlawful use of force, and intimidation tactics - with the help of guest aya majzoub, the lebanon and bahrain researcher at human rights watch.

music track: zuhal by elepheel, check out his other work @elepheel",none,none
